Observation 1,Observation 2,Observation 3,Observation 4,Observation 5,Observation 6,Observation 7,Observation 8,Observation 9,Observation 10
1.12,1.18,1.18,1.18,7.60,8.90,8.94,8.94,8.95,"0.49
"
1.16,1.22,1.22,1.22,7.84,9.18,9.23,9.23,9.23,"0.49
"
1.13,1.19,1.19,1.19,7.64,8.95,9.00,9.00,9.00,"0.48
"
1.12,1.19,1.19,1.19,7.60,8.90,8.95,8.95,8.96,"0.49
"
1.17,1.24,1.24,1.24,7.96,9.32,9.37,9.38,9.38,"0.48
"
1.17,1.24,1.24,1.24,7.94,9.30,9.35,9.35,9.35,"0.48
"
1.09,1.15,1.15,1.15,7.38,8.64,8.68,8.69,8.69,"0.48
"
1.03,1.09,1.09,1.09,6.98,8.18,8.22,8.22,8.23,"0.48
"
1.03,1.09,1.09,1.09,6.96,8.15,8.19,8.19,8.20,"0.48
"
1.07,1.14,1.14,1.14,7.29,8.53,8.58,8.58,8.58,"0.49
"
1.14,1.21,1.21,1.21,7.74,9.06,9.11,9.11,9.11,"0.49
"
1.25,1.33,1.33,1.33,8.51,9.96,10.02,10.02,10.02,"0.49
"
1.31,1.39,1.39,1.39,8.89,10.41,10.46,10.46,10.47,"0.49
"
1.35,1.43,1.43,1.43,9.18,10.75,10.80,10.81,10.81,"0.49
"
1.33,1.41,1.41,1.41,9.03,10.57,10.63,10.63,10.64,"0.48
"
1.23,1.30,1.30,1.30,8.32,9.74,9.79,9.79,9.80,"0.48
"
1.19,1.26,1.26,1.26,8.10,9.48,9.53,9.54,9.54,"0.48
"
1.22,1.29,1.29,1.29,8.27,9.68,9.73,9.73,9.74,"0.48
"
1.29,1.37,1.37,1.37,8.77,10.26,10.32,10.32,10.32,"0.48
"
1.31,1.39,1.39,1.39,8.88,10.40,10.46,10.46,10.46,"0.48
"
1.34,1.42,1.42,1.42,9.09,10.64,10.70,10.70,10.70,"0.48
"
1.33,1.41,1.41,1.41,9.01,10.55,10.61,10.61,10.62,"0.48
"
1.32,1.39,1.39,1.39,8.93,10.45,10.51,10.51,10.51,"0.48
"
1.29,1.36,1.36,1.36,8.74,10.23,10.28,10.29,10.29,"0.48
"
1.26,1.33,1.33,1.33,8.53,9.99,10.04,10.04,10.04,"0.48
"
1.19,1.25,1.25,1.25,8.05,9.42,9.47,9.47,9.47,"0.48
"
1.15,1.21,1.21,1.21,7.77,9.09,9.14,9.14,9.15,"0.48
"
1.15,1.21,1.21,1.21,7.78,9.11,9.15,9.16,9.16,"0.48
"
1.19,1.25,1.25,1.25,8.05,9.42,9.47,9.47,9.48,"0.48
"
1.15,1.22,1.22,1.22,7.82,9.15,9.20,9.21,9.21,"0.48
"
1.13,1.19,1.19,1.19,7.63,8.93,8.98,8.98,8.99,"0.48
"
1.12,1.19,1.19,1.19,7.60,8.90,8.95,8.95,8.95,"0.48
"
1.10,1.16,1.16,1.16,7.46,8.73,8.78,8.78,8.78,"0.48
"
1.14,1.20,1.20,1.20,7.70,9.01,9.06,9.06,9.07,"0.48
"
1.13,1.20,1.20,1.20,7.70,9.01,9.06,9.06,9.06,"0.48
"
1.15,1.21,1.21,1.21,7.77,9.10,9.15,9.15,9.15,"0.48
"
